file	id	severity	route	family	reason	records	degraded	detail
9-1.md	9.1	typed	typed	prose	typed	544-546		
9-1-1.md	9.1.1	typed	typed	prose	typed	546-552		
9-1-2.md	9.1.2	typed	typed	prose	typed	552-555		
9-1-3.md	9.1.3	typed	typed	prose	typed	555-557		
9-2.md	9.2	typed	typed	prose	typed	557-559		
9-2-1.md	9.2.1	typed	typed	prose	typed	559-563		
a-0.md	A.0	typed	typed	prose	typed	563-566		
b-0.md	B.0	typed	typed	prose	typed	566-567		
b-1.md	B.1	typed	typed	prose	typed	567-569		
b-2.md	B.2	typed	typed	prose	typed	569-576		
b-3.md	B.3	typed	typed	prose	typed	576-592		
c-0.md	C.0	typed	typed	prose	typed	592-593		
c-1.md	C.1	typed	typed	prose	typed	593-595		
c-1-1.md	C.1.1	typed	typed	prose	typed	595-599		
c-1-2.md	C.1.2	typed	typed	prose	typed	599-603		
c-1-3.md	C.1.3	typed	typed	prose	typed	603-606		
c-1-4.md	C.1.4	typed	typed	prose	typed	606-609		
c-2.md	C.2	typed	typed	prose	typed	609-610		
c-2-1.md	C.2.1	typed	typed	prose	typed	610-615		
c-2-2.md	C.2.2	typed	typed	prose	typed	615-618		
c-2-3.md	C.2.3	typed	typed	prose	typed	618-620		
c-2-4.md	C.2.4	typed	typed	prose	typed	620-624		
c-2-5.md	C.2.5	typed	typed	prose	typed	624-627		
index.md	INDEX	typed	typed	generated navigation	typed	627-656		
comments.md	COMMENTS	typed	typed	prose	typed	656-659		
# summary	best-effort=6	typed=201	total=207
