file	id	severity	route	family	reason	records	degraded	detail
e-6-5.md	E.6.5	typed	typed	prose	typed	373-376		
f-0.md	F.0	typed	typed	prose	typed	376-377		
f-1.md	F.1	typed	typed	prose	typed	377-386		
f-1-1.md	F.1.1	typed	typed	prose	typed	386-393		
f-1-2.md	F.1.2	typed	typed	prose	typed	393-397		
f-1-3.md	F.1.3	typed	typed	prose	typed	397-400		
f-2.md	F.2	typed	typed	prose	typed	400-407		
f-3.md	F.3	typed	typed	prose	typed	407-418		
glossary.md	GLOSSARY	typed	typed	prose	typed	418-436		
bibliography.md	BIBLIOGRAPHY	typed	typed	prose	typed	436-442		
index.md	INDEX	typed	typed	generated navigation	typed	442-461		
# summary	best-effort=6	typed=153	total=159
